Year,Clupeidae,Clupeoidei,Engraulis encrasicolus,Etrumeus teres,Sardina pilchardus,Sardinella aurita,Sardinella spp,Sprattus sprattus,Total
1950,0,300,132500,0,102200,2100,8900,1200,247200
1951,0,1900,165300,0,103700,2200,9100,1700,283900
1952,0,400,153800,0,115600,2400,9400,700,282300
1953,0,2400,127600,0,109500,2300,8700,700,251200
1954,0,2700,123700,0,105200,2600,11300,4400,249900
1955,0,2900,72400,0,80300,3100,9000,800,168500
1956,0,300,90300,0,99300,4300,11000,4300,209500
1957,0,1100,89000,0,111900,4700,11000,3200,220900
1958,0,700,92000,0,96700,3900,9700,2100,205100
1959,0,400,137700,0,94100,4100,10600,2600,249500
1960,0,400,105400,0,96400,3300,10300,1200,217000
1961,0,400,136300,0,120300,3600,10400,400,271400
1962,0,400,151300,0,100100,4800,13800,1800,272200
1963,0,500,204000,0,110700,5200,14600,1000,336000
1964,0,400,210000,0,117900,6800,10800,4600,350500
1965,0,600,206700,0,108400,8200,11200,5400,340500
1966,0,800,240700,0,126800,6800,6200,2400,383700
1967,0,600,264000,0,112200,5000,7700,2000,391500
1968,0,1000,263900,0,116300,5900,5300,4700,397100
1969,0,800,195600,0,125600,5400,6000,2700,336100
1970,0,900,294243,0,144721,11589,5200,4485,461138
1971,0,1000,298264,0,150936,9971,7153,5798,473122
1972,0,1000,297171,0,160028,7506,6010,6162,477877
1973,0,800,342052,0,150023,7264,4435,6483,511057
1974,0,1042,444778,0,168909,8009,7405,6413,636556
1975,0,817,348630,0,176089,7080,3206,7523,543345
1976,0,578,455466,0,175292,5685,2092,10961,650074
1977,0,534,341932,0,188449,4862,4800,17085,557662
1978,0,574,380132,0,191656,7252,5784,35067,620465
1979,0,554,439073,0,189376,8138,10213,73733,721087
1980,0,573,612854,0,187811,8074,9342,85401,904055
1981,0,501,594646,0,234122,8209,10830,97193,945501
1982,0,474,629296,0,229583,10342,7117,76526,953338
1983,0,448,639185,0,241008,8227,8890,41467,939225
1984,0,421,718306,0,223195,8311,11308,43041,1004582
1985,0,481,512380,0,246138,6913,14397,51793,832102
1986,0,504,593005,0,251871,9634,14224,65668,934906
1987,0,503,465050,0,287329,9293,12919,66602,841696
1988,0,500,618733,0,281528,6607,14745,66942,989055
1989,0,3864,237728,0,272316,5825,20362,105368,645463
1990,0,3620,169009,0,243598,5867,26313,53920,502327
1991,0,3002,161931,0,241052,6022,28821,18565,459393
1992,0,3200,262286,0,249889,6822,29814,20348,572359
1993,0,3400,310495,0,252563,7312,35152,14878,623800
1994,0,4000,392777,0,260121,7552,35430,18522,718402
1995,0,2812,499898,0,247581,7603,44754,21818,824466
1996,0,1997,377078,0,224546,7916,35562,28260,675359
1997,0,1864,348084,0,209851,8690,46553,28243,643285
1998,0,2879,321229,0,204094,8840,51621,38333,626996
1999,0,3134,442346,1403,212244,8920,70018,39396,777461
2000,0,3308,391757,0,215869,9151,61694,42007,723786
2001,0,1769,438380,0,199942,9687,82268,64125,796171
2002,0,3166,481326,0,189128,10205,59784,72232,815841
2003,0,3428,400630,0,179176,10749,56616,69087,719686
2004,0,600,463778,0,181735,11231,55264,55087,767695
2005,0,675,260627,0,203557,12363,54504,59468,591194
2006,0,761,410721,0,231734,12747,58569,42801,757333
2007,0,2332,523264,0,212966,15246,60677,40345,854830
2008,0,2423,388293,0,155732,20516,63962,73222,704148
2009,0,1748,370553,0,198073,10262,46163,91841,718640
2010,0,7261,406430,0,156105,10287,41257,92222,713562
2011,0,8425,386156,0,184103,6015,44327,120993,750019
2012,0,8098,302063,0,174962,7061,49115,35040,576339
2013,0,7643,326199,3,193783,7337,42851,29958,607774
2014,0,7348,218979,1,200696,5114,43116,56749,532003
2015,0,7255,356797,11,186485,4914,41512,109200,706174
2016,6,2866.48,267955.39,3,185774.28,7075,45074.98,79087,587842.13
2017,6,1435.06,409938.85,638,181164.67,8824,44842.02,54314,701162.6
2018,0,1840,339886,13,190248,8538,46618,38881,626024
