Year,Clupeidae,Engraulis encrasicolus,Sardinella aurita,Sprattus sprattus,Total
1950,0,132500,2100,1200,135800
1951,0,165300,2200,1700,169200
1952,0,153800,2400,700,156900
1953,0,127600,2300,700,130600
1954,0,123700,2600,4400,130700
1955,0,72400,3100,800,76300
1956,0,90300,4300,4300,98900
1957,0,89000,4700,3200,96900
1958,0,92000,3900,2100,98000
1959,0,137700,4100,2600,144400
1960,0,105400,3300,1200,109900
1961,0,136300,3600,400,140300
1962,0,151300,4800,1800,157900
1963,0,204000,5200,1000,210200
1964,0,210000,6800,4600,221400
1965,0,206700,8200,5400,220300
1966,0,240700,6800,2400,249900
1967,0,264000,5000,2000,271000
1968,0,263900,5900,4700,274500
1969,0,195600,5400,2700,203700
1970,0,294243,11589,4485,310317
1971,0,298264,9971,5798,314033
1972,0,297171,7506,6162,310839
1973,0,342052,7264,6483,355799
1974,0,444778,8009,6413,459200
1975,0,348630,7080,7523,363233
1976,0,455466,5685,10961,472112
1977,0,341932,4862,17085,363879
1978,0,380132,7252,35067,422451
1979,0,439073,8138,73733,520944
1980,0,612854,8074,85401,706329
1981,0,594646,8209,97193,700048
1982,0,629296,10342,76526,716164
1983,0,639185,8227,41467,688879
1984,0,718306,8311,43041,769658
1985,0,512380,6913,51793,571086
1986,0,593005,9634,65668,668307
1987,0,465050,9293,66602,540945
1988,0,618733,6607,66942,692282
1989,0,237728,5825,105368,348921
1990,0,169009,5867,53920,228796
1991,0,161931,6022,18565,186518
1992,0,262286,6822,20348,289456
1993,0,310495,7312,14878,332685
1994,0,392777,7552,18522,418851
1995,0,499898,7603,21818,529319
1996,0,377078,7916,28260,413254
1997,0,348084,8690,28243,385017
1998,0,321229,8840,38333,368402
1999,0,442346,8920,39396,490662
2000,0,391757,9151,42007,442915
2001,0,438380,9687,64125,512192
2002,0,481326,10205,72232,563763
2003,0,400630,10749,69087,480466
2004,0,463778,11231,55087,530096
2005,0,260627,12363,59468,332458
2006,0,410721,12747,42801,466269
2007,0,523264,15246,40345,578855
2008,0,388293,20516,73222,482031
2009,0,370553,10262,91841,472656
2010,0,406430,10287,92222,508939
2011,0,386156,6015,120993,513164
2012,0,302063,7061,35040,344164
2013,0,326199,7337,29958,363494
2014,0,218979,5114,56749,280842
2015,0,356797,4914,109200,470911
2016,6,267955.39,7075,79087,354123.39
2017,6,409938.85,8824,54314,473082.85
2018,0,339886,8538,38881,387305
