"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,58271.8107768322,35273.8863735586,24430.3494944794,123107.446393423
"2","b_t",1952,46185.804221618,32965.9239879212,16456.3618636098,105815.528981321
"3","b_t",1953,80115.5788255419,59991.7856223357,25814.2353863328,187348.318950104
"4","b_t",1954,87573.2062084301,68998.4985925441,29214.8388158717,202062.225049419
"5","b_t",1955,70916.6022315184,75488.9025826567,20730.5113476523,176129.686126029
"6","b_t",1956,26115.6029997222,20378.4390228885,8199.78585385092,61294.3124687979
"7","b_t",1957,32871.1818867985,27016.4221267969,10242.9562938709,75930.6230187088
"8","b_t",1958,27988.0141679654,24733.6721908234,8659.26040599659,66028.5059236252
"9","b_t",1959,20595.5496601865,17678.4887194057,6432.49593866611,47825.4208089343
"10","b_t",1960,17327.9899747688,14261.9202669099,5699.53490267718,39722.2916741296
"11","b_t",1961,15173.0435373345,12313.031128481,4690.51478768037,34308.7749083683
"12","b_t",1962,19696.4739158147,16475.545756409,5988.40982657922,46157.0612330641
"13","b_t",1963,22806.36084095,18556.9082665388,6595.72345193815,52561.3643691166
"14","b_t",1964,22209.0066757636,18127.6765362693,6507.83155395969,49903.5068955182
"15","b_t",1965,24292.4654602566,19504.614747471,7666.89588422353,56151.6303630645
"16","b_t",1966,26445.3260535248,21067.5080640881,8504.82978228095,60781.5560330897
"17","b_t",1967,25506.132537529,21136.102438796,7573.21809746838,60267.8778977928
"18","b_t",1968,30541.0766672846,25205.8876391333,9259.49736502117,73557.5939448144
"19","b_t",1969,33550.6643593971,26522.6069237194,10360.3238759744,79095.4126492425
"20","b_t",1970,36913.5598049533,29379.3089809607,11337.1926689062,88503.0732221978
"21","b_t",1971,40654.0260092722,33509.6488840902,12473.0757337055,96931.2073680329
"22","b_t",1972,43158.9651372157,37002.6134381517,13166.9577782494,101533.040180523
"23","b_t",1973,42033.7192952068,34880.5679983551,13376.4470139196,101565.85359706
"24","b_t",1974,39042.6465382883,31380.657377827,11843.3026001446,93173.2456151305
"25","b_t",1975,30474.7061791629,24854.234043501,9802.03309852971,70502.2911789464
"26","b_t",1976,23481.3638556574,19205.6410857503,7319.20081874297,55563.8634549671
"27","b_t",1977,21888.8645309634,19478.9832523865,6307.21903364581,51359.3475523297
"28","b_t",1978,20900.9548074767,17104.9240282558,6438.93421236297,49049.338110105
"29","b_t",1979,19583.6737030137,16332.7876488577,5741.6569106938,45862.0644505226
