"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,1844250.27743015,415619.260879691,1334653.65110458,2593409.71725402
"2","b_t",1952,2046390.88438155,480232.645878671,1432161.22030106,2925213.48049217
"3","b_t",1953,1742186.30499706,411327.163854816,1208753.92223046,2512432.50918663
"4","b_t",1954,1469385.03616887,346457.907103055,1039149.35945558,2087972.12398086
"5","b_t",1955,1171132.44490707,279345.83654688,813127.594635232,1664732.5011812
"6","b_t",1956,1301613.51860937,306370.486978547,915926.893260694,1859689.97989491
"7","b_t",1957,1396069.86209351,329974.538550441,982783.166115026,1990352.38720548
"8","b_t",1958,1409067.88682964,338060.535196311,984714.775566647,2027434.7930288
"9","b_t",1959,1398508.72340655,339581.824814078,970641.833410795,2014718.57942275
"10","b_t",1960,1384719.1869629,325171.997725381,973790.35780515,1991639.16483418
"11","b_t",1961,1343312.40290634,316227.07333683,951717.715576732,1929434.80513151
"12","b_t",1962,1611638.75077177,380682.813596626,1131623.40278794,2320034.42328042
"13","b_t",1963,1773444.57536514,423736.483515811,1252151.7881685,2562019.54383936
"14","b_t",1964,1772750.61367106,417917.797390362,1239105.39354084,2519633.23614173
"15","b_t",1965,1560834.23006293,367422.425674921,1090307.53925075,2214813.83840036
"16","b_t",1966,1513950.39522687,349257.127037826,1064306.53062191,2147749.08455542
"17","b_t",1967,1423363.78242176,331598.643557286,1003860.71016187,2025713.73621721
"18","b_t",1968,1446857.72628623,343306.847967183,1020530.85608362,2081734.90393536
"19","b_t",1969,1660449.48199439,394620.853867471,1179316.35057365,2383559.28600202
"20","b_t",1970,1922488.36582392,453846.150134338,1370087.07354356,2762799.04609913
"21","b_t",1971,2066830.91057859,491990.188157842,1455459.63721956,2965712.30366084
"22","b_t",1972,2285467.68284932,547278.923795477,1587249.77456651,3297770.68865157
"23","b_t",1973,2434035.10888421,590186.038978265,1694505.97366963,3491397.00172157
"24","b_t",1974,2312345.79634979,549049.634985413,1601204.43338859,3281195.87409169
"25","b_t",1975,2214520.98567118,523434.178983767,1564560.45354319,3145150.46008981
"26","b_t",1976,2152026.69560091,508694.845506609,1506175.87111441,3091446.46833741
"27","b_t",1977,2310210.31545074,546343.570565865,1602580.28424341,3325178.7106767
"28","b_t",1978,2263252.34477714,531458.834221356,1591207.22427862,3219093.58716217
"29","b_t",1979,2220124.28448057,527669.662740431,1534555.6081119,3199013.41789464
"30","b_t",1980,2174033.30654221,526770.641914091,1506320.96561354,3142989.82305323
"31","b_t",1981,2259314.17721159,531854.667588174,1587374.88569703,3237836.68324351
"32","b_t",1982,2149452.39176731,501137.949778245,1522861.89956856,3063907.50913524
"33","b_t",1983,1969647.07260655,455041.279116906,1405341.622568,2821066.30788445
"34","b_t",1984,1840770.92529828,429754.118893174,1318524.25758027,2659207.52904029
"35","b_t",1985,1827378.55706492,425950.040687018,1278931.83656494,2615319.31651884
"36","b_t",1986,1806377.20778361,414980.76387377,1290788.68757949,2600758.69204048
"37","b_t",1987,1760723.00055868,404150.137011473,1248082.65539159,2515732.2629858
"38","b_t",1988,1629653.15425955,374133.591932575,1161696.06357055,2308055.07770438
"39","b_t",1989,1614605.03979167,371301.680284516,1159832.76177234,2302160.58613751
"40","b_t",1990,1485535.04085206,340089.635900575,1049687.00692708,2098002.46543548
"41","b_t",1991,1414708.61088162,321499.065885597,1021708.83419706,1993346.02272024
"42","b_t",1992,1424943.41474396,323173.054149771,1026290.41107438,2031625.36969649
"43","b_t",1993,1426116.79315064,322443.308469974,1024026.37622545,2025382.92120576
"44","b_t",1994,1487429.74049634,333763.85316007,1066872.8821597,2090616.99355118
"45","b_t",1995,1403818.53760089,313736.32077632,1008168.57652922,1965024.78284811
"46","b_t",1996,1284556.45231212,291388.127714119,919719.28478525,1823917.65872769
"47","b_t",1997,1299946.39659711,301267.590235989,928173.265661094,1851861.22000279
"48","b_t",1998,1246701.18574244,279566.996275747,896678.633282014,1750775.20280121
"49","b_t",1999,1274900.24824425,288763.976191121,908190.021365049,1806468.25213907
"50","b_t",2000,1305826.31564283,303906.554976369,929397.273711654,1835727.36865949
"51","b_t",2001,1225922.0115418,284517.550544015,876046.017139635,1754671.3328866
"52","b_t",2002,1195894.38092088,274037.815940793,848293.918416958,1695857.16298473
"53","b_t",2003,1141069.08551209,258668.381425638,811896.370489669,1621505.93131336
"54","b_t",2004,1171625.09116758,269071.13227001,835641.560999923,1655926.13208339
"55","b_t",2005,1217435.51763313,272671.951332726,886206.795031913,1722383.29031497
"56","b_t",2006,1222802.31859541,272590.21037862,877877.420156036,1709625.07405259
"57","b_t",2007,1045024.81666666,230996.637354621,753440.523629869,1461388.7138397
"58","b_t",2008,938505.255250683,213572.139962438,665942.888150214,1332467.37609355
"59","b_t",2009,977803.408758317,219585.719006027,698598.120215681,1375516.67231979
"60","b_t",2010,867062.984249602,194854.27633115,620913.733360245,1221390.5677286
"61","b_t",2011,932719.323286202,207104.646353345,675734.602059937,1327165.33547297
"62","b_t",2012,964441.496979402,214883.205871752,686792.62775248,1353108.37274356
"63","b_t",2013,1004242.17486164,223553.78640334,722575.86325859,1408853.89734496
"64","b_t",2014,1014786.83448352,221131.521979742,731936.49338291,1432884.35535872
"65","b_t",2015,972392.539587566,219819.512702366,695692.259398855,1366024.58988988
"66","b_t",2016,985052.792078337,240682.086222966,682426.552841616,1405363.96801816
"67","b_t",2017,987479.258545579,247077.615517753,677609.749753037,1419501.14081573
"68","b_t",2018,993456.912979056,252461.563756063,676579.700202583,1447579.83658413
"69","bmsy",1951,1232781.78031734,239108.479946521,921525.976107844,1677584.69085915
"70","ck",1951,0.0435247796982226,0.00782220073658059,0.0309075324440726,0.0562653725758776
"71","ck",1952,0.0485194265488383,0.00871983032930295,0.0344542984622448,0.0627220546747488
