"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,115400.270943629,154631.369606298,49371.8359659537,231634.253130326
"2","b_t",1952,108603.410711687,166403.859375622,41135.8464882819,221848.260033122
"3","b_t",1953,92178.5966982088,136798.350709743,34796.1766940872,194827.632061231
"4","b_t",1954,89582.8987487548,137890.140479296,33280.2857458971,191590.880028351
"5","b_t",1955,91352.2415891956,139805.264876598,34722.4961567869,194102.374524171
"6","b_t",1956,115001.8680982,172835.223978658,42766.8200265958,244231.718664563
"7","b_t",1957,125505.340955345,166989.589224593,47302.5152317768,277785.91562229
"8","b_t",1958,128247.496999828,201013.211625953,48943.0906662146,269762.333682252
"9","b_t",1959,125752.800263086,205888.273088181,47109.2443475934,263108.901043205
"10","b_t",1960,111544.240527183,170408.196948568,41015.4692471567,236596.352502451
"11","b_t",1961,104611.546420796,165046.525824565,40156.9853620996,211470.349502547
"12","b_t",1962,157138.565000422,252370.849918431,60315.4626146771,326940.025710992
"13","b_t",1963,186666.96269522,279549.151204823,71264.4164022418,386716.119571538
"14","b_t",1964,216584.549855156,347597.453566758,81791.6001399659,446069.85557161
"15","b_t",1965,213033.462491632,362210.044309247,79330.2352287842,437195.437723893
"16","b_t",1966,174876.669176528,261761.705294124,66418.3228737141,370755.490333133
"17","b_t",1967,147367.443483059,227278.657012073,56450.108945659,308259.859053131
"18","b_t",1968,151746.732613593,202318.736130024,59228.1597336854,322972.693066141
"19","b_t",1969,173822.328542698,232445.348902085,67405.1995732175,360801.624458352
"20","b_t",1970,252948.770392936,356776.343982927,97880.691581203,524926.930691654
"21","b_t",1971,248434.349406949,383603.536060241,92637.679079446,526721.616121688
"22","b_t",1972,230993.47318163,360382.196159999,85922.6835445892,462887.198575239
"23","b_t",1973,239266.956536843,350349.833015662,91034.5351875633,497526.291325197
"24","b_t",1974,215702.728748384,304678.556669671,85120.428498903,455836.673806616
"25","b_t",1975,186475.617772086,284495.183806045,69866.820879348,380587.567801249
"26","b_t",1976,155944.218900323,229529.867472363,58362.9082138861,330123.726420177
"27","b_t",1977,155859.142064669,236560.266552306,58935.9258764467,322662.712394681
"28","b_t",1978,180227.933704006,265325.385892376,68430.7974652044,376227.589802864
"29","b_t",1979,194342.187622836,284524.465178281,73335.0219792203,407577.116445005
"30","b_t",1980,190879.158999759,279815.666794033,71798.6679233994,409993.538200211
"31","b_t",1981,186368.509177484,304697.60659243,68978.2977468671,385258.179648848
"32","b_t",1982,190422.341461023,307707.147919366,71335.5344562367,403814.503348174
"33","b_t",1983,153958.690388345,225776.121081673,59272.5218162727,315478.645278672
"34","b_t",1984,141157.475048598,214340.886159421,53957.7067492993,293584.441566896
"35","b_t",1985,125401.564041949,182332.758297498,48830.806787983,262417.641536758
"36","b_t",1986,133036.180861555,192642.548343948,50422.3884973171,279263.307423749
"37","b_t",1987,115163.676273808,165439.152477999,43943.366190325,239338.535816953
"38","b_t",1988,89563.1896923316,143354.127470553,34553.0765109312,185247.504244508
"39","b_t",1989,82082.2748648589,120965.289875109,31366.9698066023,172510.007977792
"40","b_t",1990,78450.8984120943,113832.53857617,30444.9684896113,161658.84171736
"41","b_t",1991,77428.6521979314,111041.266312229,30565.3681382102,161877.706318685
"42","b_t",1992,83241.649254879,125600.23086944,33222.7990392532,177525.300103172
"43","b_t",1993,88113.3661841988,132581.78333548,34294.9204545314,179894.392319243
"44","b_t",1994,95983.0850261662,146983.035940003,37262.1994853766,205012.89761982
"45","b_t",1995,96984.3157861452,152741.164154439,38137.528447566,201122.33665837
"46","b_t",1996,97818.8726082281,135839.696094772,39107.0669295645,199616.385746356
"47","b_t",1997,111441.993297901,161267.49594234,43415.324472585,233474.197113978
"48","b_t",1998,113405.926565483,185804.482794054,43610.3416813918,227892.173541358
"49","b_t",1999,117364.731381368,186151.190862706,45850.4651069956,235595.11479818
"50","b_t",2000,124566.989834514,179870.683375307,48521.732798109,265215.675094061
"51","b_t",2001,128211.500182961,187402.122767962,49980.5942561604,260086.49914225
"52","b_t",2002,137828.009135821,195444.026940159,53992.2720672126,295031.153163113
"53","b_t",2003,140955.198784536,199082.044841562,55070.0381901022,303292.964123139
"54","b_t",2004,149962.391614414,213767.414490574,58572.4264706559,316416.342369199
"55","b_t",2005,158345.29342846,230428.057158136,59992.9782737762,335095.155535484
"56","b_t",2006,161666.089013763,244887.026884183,62147.2933141183,326250.246920254
"57","b_t",2007,161342.466246033,230956.668463673,63547.8084281784,336498.563898026
"58","b_t",2008,175701.308335034,242718.088031083,67820.8925215505,365339.733157844
"59","b_t",2009,126084.606441344,197440.233270702,47216.1937654735,262033.046234367
"60","b_t",2010,101026.557919795,150973.516666637,38729.9581201032,207670.45282374
"61","b_t",2011,79017.104801863,116590.923716975,30707.4546955669,163961.839766307
"62","b_t",2012,81043.3102353179,133951.384748737,30486.626203258,168015.506756499
"63","b_t",2013,75047.574548714,112979.827199946,29297.0637258529,159305.79452175
"64","b_t",2014,62653.7546606981,92474.5137830008,24554.9185219565,132363.867332359
"65","b_t",2015,60110.660387877,90424.8303395965,24013.7429130615,126622.803238316
"66","b_t",2016,66941.6823338843,94059.2494824312,26977.4081263132,133012.267867095
"67","b_t",2017,71105.2712154156,95810.8459858166,28160.6291795107,144282.659645934
"68","b_t",2018,71970.1944412994,92365.5473296223,28360.5545285628,149342.335908738
"69","bmsy",1951,87426.2669111363,111407.749989132,39747.1010932537,170551.27637464
"70","ck",1951,0.0170435707811133,0.00651189907072998,0.00644967430160056,0.0276750101855223
"71","ck",1952,0.018592986306669,0.00710388989534179,0.00703600832901879,0.030190920202388
"72","ck",1953,0.0178182785438911,0.00680789448303588,0.00674284131530968,0.0289329651939551
"73","ck",1954,0.0201424018322248,0.00769588071995361,0.00762234235643703,0.0327068302192536
"74","ck",1955,0.0240159406461142,0.00917585778148315,0.00908817742498261,0.0389966052614178
"75","ck",1956,0.0333124337994487,0.012727802729154,0.012606181589492,0.0540920653626118
"76","ck",1957,0.0364112648505602,0.0139117843783777,0.0137788496443285,0.0591238853963431
"77","ck",1958,0.0302136027483372,0.0115438210799304,0.0114335135346555,0.0490602453288804
"78","ck",1959,0.0317630182738929,0.0121358119045422,0.0120198475620738,0.0515761553457461
"79","ck",1960,0.0255653561716699,0.00976784860609496,0.00967451145240084,0.0415125152782834
"80","ck",1961,0.0278894794600035,0.0106558348430127,0.0105540124935282,0.0452863803035819
"81","ck",1962,0.037185972613338,0.0142077797906836,0.0140720166580376,0.0603818404047759
"82","ck",1963,0.0402848036644496,0.0153917614399072,0.0152446847128741,0.0654136604385072
"83","ck",1964,0.0526801278688956,0.0201276880368017,0.0199353569322199,0.0855409405734325
"84","ck",1965,0.0635260365477858,0.0242716238090845,0.0240396951241475,0.103152310691492
"85","ck",1966,0.0526801278688956,0.0201276880368017,0.0199353569322199,0.0855409405734325
"86","ck",1967,0.0387353881388938,0.0147997706152954,0.0146583506854558,0.0628977504216416
"87","ck",1968,0.0457077580038947,0.0174637293260486,0.0172968538088379,0.0742193454975371
"88","ck",1969,0.0418342191900053,0.015983752264519,0.0158310187402923,0.0679295704553729
"89","ck",1970,0.089780882628328,0.0343029083321317,0.0339751252187495,0.145784405927281
"90","ck",1971,0.077246111026582,0.0295137025610221,0.029231682936936,0.125430693890838
"91","ck",1972,0.0581495646741074,0.0222174156476815,0.0220051160490063,0.0944221029329683
"92","ck",1973,0.0562747718881849,0.0215011067499012,0.0212956518758302,0.0913778518125609
"93","ck",1974,0.0620463447208801,0.0237062725715802,0.0234797461279631,0.100749616625385
"94","ck",1975,0.0548493096046736,0.0209564751912583,0.0207562245706054,0.0890632145970445
"95","ck",1976,0.0440421363139223,0.0168273391895909,0.0166665447293633,0.0715147422294065
