"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,1436967.51051033,1655904.0333639,363173.804745844,4019595.48292673
"2","b_t",1952,1468674.49594936,1805682.56747821,338635.907895778,3995221.66209256
"3","b_t",1953,1236081.2054808,1503136.74971474,272783.918980899,3450063.12125267
"4","b_t",1954,1197750.01085951,1506058.65039635,264608.906423823,3371855.30299439
"5","b_t",1955,1004247.2108472,1241391.05141645,216519.944235103,2928192.42826558
"6","b_t",1956,1117153.65733335,1388641.5860923,241222.771405902,3210727.16023548
"7","b_t",1957,1156058.08678199,1371417.1143871,243644.936401248,3435422.80337098
"8","b_t",1958,1168520.63290921,1383171.21947216,259870.396067829,3492312.95490703
"9","b_t",1959,1199114.15084209,1390792.11196643,261160.424195774,3490841.08255179
"10","b_t",1960,1179938.84074194,1452493.26256377,250630.219470357,3527710.18151054
"11","b_t",1961,1071401.66719161,1303607.86502799,236858.562776611,3082898.93183891
"12","b_t",1962,1560744.44333153,1915725.71030213,345735.066997876,4489258.2248684
"13","b_t",1963,1689465.51772478,2091744.52036395,367903.161929915,4919525.70021071
"14","b_t",1964,1385868.37166853,1707318.21062047,298848.294601605,3838428.66246909
"15","b_t",1965,1093776.00947134,1385241.98707919,234829.838332,3174070.52462705
"16","b_t",1966,744874.894077773,919931.449292164,164425.904831405,2118796.00704382
"17","b_t",1967,691260.127532927,885553.047205042,149901.858706455,1932274.95916446
"18","b_t",1968,579314.144314894,718730.809775884,121705.147634015,1607437.48869587
"19","b_t",1969,613184.253087161,727217.496559677,130370.704824739,1747152.74094708
"20","b_t",1970,632875.810783645,750809.155066848,134531.881125544,1859778.33559618
"21","b_t",1971,706320.425552267,853019.516526544,148810.954310964,2101714.3885021
"22","b_t",1972,689064.568333845,863974.30465935,148134.176551011,1972926.21465929
"23","b_t",1973,649511.803266155,873824.466772443,139643.284311144,1792181.41277961
"24","b_t",1974,601872.208508304,767300.105556143,131338.978420968,1700524.63703813
"25","b_t",1975,389180.814197904,475480.860776926,84451.9641898009,1117501.06085776
"26","b_t",1976,320871.25275587,396991.76584632,68628.7605894545,917163.224596282
"27","b_t",1977,459965.748611559,555039.278766358,99951.6194764917,1275677.14893911
"28","b_t",1978,587587.827720807,740200.939215843,129248.098796195,1652816.03036464
"29","b_t",1979,780679.310797454,956814.477083923,169278.029876127,2207987.55904383
"30","b_t",1980,805992.484204751,1001022.07931012,171035.69586648,2261701.60228536
"31","b_t",1981,776470.815239455,956240.589011878,167725.687911269,2153192.23389281
"32","b_t",1982,642808.668469184,778731.928195329,137108.022940252,1830791.58905494
"33","b_t",1983,631887.404331972,775514.826818494,139447.001113016,1817929.14053832
"34","b_t",1984,707197.710859316,844719.673157035,158758.866019413,2030112.72892214
