"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,998508.954369453,628193.751099272,414464.145850686,2112763.65531809
"2","b_t",1952,192899.128848885,148807.255851435,61667.1198913269,450964.310031601
"3","b_t",1953,115349.113067371,88834.3555067607,33912.623536892,266795.81986425
"4","b_t",1954,151441.884915758,117189.384938006,43822.1916499077,361283.543387089
"5","b_t",1955,101461.352711805,88787.2913854606,29422.5398577497,234842.76680734
"6","b_t",1956,162094.941765145,133417.665481527,45077.7778712512,375591.170525334
"7","b_t",1957,166470.566267765,136933.296585342,47621.8401294064,388180.066020633
"8","b_t",1958,144330.408622275,121518.978120906,41704.1889722797,333434.379982275
"9","b_t",1959,127171.55372629,107524.38858184,37175.0024391618,300361.094410808
"10","b_t",1960,80728.2051563305,67219.2819253932,22220.5841040776,192499.369975448
"11","b_t",1961,52576.0328096881,41534.7206591522,15247.4179532277,124601.723538051
"12","b_t",1962,95251.5637186749,74587.0105243633,26596.6453427006,226909.848072077
"13","b_t",1963,119485.063848734,97812.8651690198,35037.4991959589,283022.799483986
"14","b_t",1964,215219.777880659,171113.751771567,62264.5459837501,502187.744370127
"15","b_t",1965,228565.794685631,181966.021139549,69056.0930946019,536755.641812462
"16","b_t",1966,168673.733736577,139024.501751387,46887.384600262,403617.971625298
"17","b_t",1967,158883.117551371,135804.990272843,43578.8302498378,397377.055924234
"18","b_t",1968,204779.411775086,182613.681358522,59123.4249258136,485242.638538562
"19","b_t",1969,205499.186202879,155757.905062497,60385.1665245023,486432.804868769
"20","b_t",1970,269428.277128848,195955.014825988,79366.6841401893,629918.690675872
"21","b_t",1971,343573.32141538,277109.36794756,102109.926154854,814714.405114589
"22","b_t",1972,409444.300889494,338640.034591135,119164.112406756,961555.512815316
"23","b_t",1973,481803.519997824,405069.159704926,138751.800996092,1141125.1157352
"24","b_t",1974,468245.455596897,402886.59621246,133477.58551072,1091232.35005093
"25","b_t",1975,514599.627586061,440824.00495133,154162.183155466,1201283.95813903
"26","b_t",1976,673163.854657594,573498.576056346,191933.67614282,1624414.18976652
"27","b_t",1977,1028639.11682174,841074.757491683,289720.079333279,2421496.32230421
"28","b_t",1978,1545853.567925,1197590.41117256,486945.424182839,3577907.21144134
"29","b_t",1979,2105708.4158138,1581836.613995,696568.584940042,4785486.5432735
"30","b_t",1980,2154852.07284467,1562778.82848115,740659.054461542,4692612.12795969
"31","b_t",1981,2202894.03841725,1651727.45094081,701693.566074717,4830612.0571688
"32","b_t",1982,1985177.42766235,1455195.77866374,608897.282280424,4440114.82695324
"33","b_t",1983,1504254.42565666,1209898.16804169,458336.336977501,3549964.71526305
"34","b_t",1984,1438866.45114297,1206162.18090841,430474.744197823,3295099.4798106
"35","b_t",1985,1538067.71510388,1205823.20070139,488857.901866618,3544915.35816134
"36","b_t",1986,1654220.7118715,1269240.79056512,502743.3246169,3928856.55733058
"37","b_t",1987,1565310.00394564,1309272.2082523,474630.369999513,3597580.6202265
"38","b_t",1988,1520925.95275913,1160983.97729741,487371.08189965,3447787.59702851
"39","b_t",1989,1849180.98600696,1529543.98289618,532669.134092308,4538029.14691911
"40","b_t",1990,1151537.81918717,1048754.2507128,318619.633779515,2756761.69089727
"41","b_t",1991,624283.720547914,550711.409169195,179204.153823664,1439747.67723591
"42","b_t",1992,529269.523199149,441171.538031444,156188.244926847,1282006.83453977
"43","b_t",1993,450698.138528673,358959.508741028,131840.614618885,1074733.18841265
"44","b_t",1994,508033.17994119,396789.081304153,147099.230626739,1225425.76052664
"45","b_t",1995,587712.406184186,464240.401590162,171494.259894611,1452683.02937266
"46","b_t",1996,693406.697162812,540201.773526418,202181.405385096,1652057.90472625
"47","b_t",1997,822918.01735536,648238.039362326,250027.340815082,1909942.93773273
"48","b_t",1998,967590.091562441,839504.260280831,280351.481344268,2247244.32289411
"49","b_t",1999,1078913.99613743,927989.978806389,301821.074930485,2506165.28789426
"50","b_t",2000,1202559.87912757,969764.463375088,340495.962176324,2788018.03034707
"51","b_t",2001,1453665.63432906,1158743.84404117,435249.736291338,3485498.3364315
"52","b_t",2002,1587860.28684092,1256514.01413396,477446.087706801,3573999.19661201
"53","b_t",2003,1543166.12116478,1188972.42582327,464304.051374026,3561874.51945467
"54","b_t",2004,1428701.35370275,1175699.84841286,409069.915932579,3213081.26217111
"55","b_t",2005,1375697.04214243,1090682.00657356,412678.697918014,3205722.20880686
"56","b_t",2006,1145909.16703742,921472.044949985,337424.879872628,2622326.13789353
"57","b_t",2007,1076869.38407172,856562.50122553,321917.334404229,2655745.09339215
